Code;Preferred Term;Synonyms;Definition;Neoplastic Status;
C35736;Salivary Gland Lymphoepithelial Carcinoma;Lymphoepithelial Salivary Gland Carcinoma;A rare carcinoma that arises from the salivary glands, most often the parotid gland.  It is characterized by the presence of an undifferentiated carcinomatous component associated with a prominent reactive lymphoplasmacytic infiltrate.;Malignant;
C3686;Salivary Gland Monomorphic Adenoma;;A benign epithelial neoplasm arising from the salivary glands. It is characterized by the presence of a monomorphic cellular infiltrate.;Benign;
C5908;Salivary Gland Mucoepidermoid Carcinoma;Mucoepidermoid Carcinoma of Salivary Gland ;A carcinoma that arises from the salivary glands. It is the most common primary carcinoma of the salivary glands and usually presents as a firm and painless mass. It is characterized by the presence of squamous cells, mucus producing cells, and cells of intermediate type. The majority of cases have a favorable outcome.;Malignant;
C35700;Salivary Gland Myoepithelial Carcinoma;;A locally aggressive carcinoma that arises from the salivary glands, predominantly the parotid gland. It is characterized by the presence of a malignant cellular infiltrate exhibiting myoepithelial differentiation. Patients usually present with a painless mass.;Malignant;
C40409;Salivary Gland Pleomorphic Adenoma;Benign Mixed Salivary Gland Neoplasm ;"A benign, slow-growing tumor composed of cells that demonstrate both epithelial and mesenchymal differentiation. It is the most common neoplasm of salivary gland origin, and mostly occurs in the parotid gland. The average age of patients has been reported to be 43 years; women are more often affected than men. The malignant change rate has been estimated to be 6%. The malignant counterpart is carcinoma ex pleomorphic adenoma.";Benign;
C35703;Salivary Gland Small Cell Neuroendocrine Carcinoma;;A rare neuroendocrine carcinoma that arises from the salivary gland and is composed of malignant small cells. The mitotic count is more than 10 per 2 mm2 and/or the Ki-67 index is more than 20%.;Malignant;
C7991;Salivary Gland Squamous Cell Carcinoma;Epidermoid Carcinoma of Salivary Gland ;A squamous cell carcinoma arising from the salivary glands.  The majority of patients are in their sixth through eight decades.  It usually presents as a rapidly enlarging mass, which may be painful.  It usually has an aggressive clinical course.;Malignant;
C8024;Salivary Gland Undifferentiated Carcinoma;Anaplastic Carcinoma of Salivary Gland ;A salivary gland carcinoma characterized by the presence of undifferentiated, anaplastic malignant epithelial cells.;Malignant;
C9118;Sarcoma;Sarcoma of Soft Tissue and Bone ;A usually aggressive malignant neoplasm of the soft tissue or bone. It arises from muscle, fat, fibrous tissue, bone, cartilage, and blood vessels. Sarcomas occur in both children and adults. The prognosis depends largely on the degree of differentiation (grade) of the neoplasm. Representative subtypes are liposarcoma, leiomyosarcoma, osteosarcoma, and chondrosarcoma.;Malignant;
C27004;Sarcomatoid Carcinoma;Pseudosarcomatous Carcinoma ;A malignant epithelial neoplasm characterized by the presence of spindle cells and anaplastic morphologic features.  Giant cells and a sarcomatous component may also be present.;Malignant;
C45655;Sarcomatoid Mesothelioma;;A malignant neoplasm arising from mesothelial cells. It is characterized by the presence of spindle cells. Anaplastic morphologic features and multinucleated malignant cells may also be seen.;Malignant;
C27893;Sarcomatoid Renal Cell Carcinoma;Renal Cell Carcinoma, Sarcomatoid ;A high-grade carcinoma that arises from the kidney. It is not a distinct clinicopathological entity and includes a diverse group of renal cell carcinomas that have been transformed from a lower to a higher grade.;Malignant;
C3269;Schwannoma;Benign Neurilemmoma ;A benign, usually encapsulated slow growing tumor composed of Schwann cells.  It affects peripheral and cranial nerves.  It recurs infrequently and only rare cases associated with malignant transformation have been reported.;Benign;
C121655;Sclerosing Rhabdomyosarcoma;;An uncommon variant of rhabdomyosarcoma with sclerosing morphology.  It usually arises from the limbs.;Malignant;
C4174;Sebaceous Adenoma;Adenoma of Sebaceous Gland ;A benign, well circumscribed neoplasm arising from the sebaceous glands. It usually presents as a small yellowish tumor in the sun exposed skin of head and neck. It is characterized by the presence of sebaceous cells aggregates with a peripheral rim of basaloid cells.;Benign;
C40310;Sebaceous Carcinoma;Carcinoma of Sebaceous Gland ;An adenocarcinoma with sebaceous differentiation. It presents as a painless mass and it may be multifocal. It grows in the ocular adnexae and in the skin of head and neck, trunk, genitals, and extremities. It is characterized by the presence of malignant cells with multivesicular and clear cytoplasm. It may recur and metastasize.;Malignant;
C25765;Secondary Acute Myeloid Leukemia;Secondary AGL ;An acute myeloid leukemia arising from prior myelodysplastic syndrome, myeloproliferative neoplasm, or myelodysplastic/myeloproliferative neoplasm, or as a result of previous exposure to alkylating agents or topoisomerase II inhibitors.;Malignant;
C27482;Secondary Chondrosarcoma;;A chondrosarcoma that arises either in a pre-existing enchondroma or within the cartilaginous cap of a pre-existing osteochondroma.;Malignant;
C39751;Secondary Glioblastoma;;A glioblastoma arising from a lower grade astrocytoma.;Malignant;
C53704;Secondary Osteosarcoma;Secondary Bone Osteosarcoma;An osteosarcoma arising from a pre-existing lesion of the bone, usually Paget disease, or due to radiation therapy.;Malignant;
C4718;Secretory Meningioma;;A WHO grade I meningioma characterized by the presence of epithelial differentiation and numerous intracellular PAS positive bodies that are rich in glycogen.;Undetermined;
C9309;Seminoma;Seminoma, Pure;A radiosensitive malignant germ cell tumor found in the testis (especially undescended), and extragonadal sites (anterior mediastinum and pineal gland).  It is characterized by the presence of uniform cells with clear or dense cytoplasm which contains glycogen, and by a large nucleus which contains one or more nucleoli.  The neoplastic germ cells form aggregates separated by fibrous septa.  The fibrous septa contain chronic inflammatory cells, mainly lymphocytes.;Malignant;
C40101;Serous Adenocarcinoma;;An adenocarcinoma that is characterized by the presence of papillary patterns and cellular budding. Psammoma bodies may be present.  Representative examples include cervical serous adenocarcinoma, endometrial serous adenocarcinoma, ovarian serous adenocarcinoma, and primary peritoneal serous adenocarcinoma.;Malignant;
C40152;Serous Endometrial Intraepithelial Carcinoma;Endometrial Intraepithelial Carcinoma ;A precursor of endometrial serous adenocarcinoma characterized by the replacement of the normal endometrial cells by malignant glandular cells that resemble the malignant cells of invasive serous adenocarcinoma. The endometrial neoplastic process is non-invasive. It may coexist with invasive endometrial adenocarcinoma or can be associated with metastases outside the uterus, in the absence of invasive endometrial carcinoma.;Malignant;
C3366;Sezary Syndrome;Sezary's Disease ;A generalized peripheral (mature) T-cell neoplasm characterized by the presence of erythroderma, lymphadenopathy, and neoplastic, cerebriform T-lymphocytes in the blood.  Sezary syndrome is an aggressive disease. (WHO, 2001);Malignant;
C3774;Signet Ring Cell Adenocarcinoma;Signet Ring Cell Carcinoma ;A usually aggressive, poorly differentiated invasive adenocarcinoma characterized by the presence of malignant glandular cells in which the nucleus is pressed to one side by the presence of intracytoplasmic mucus. It may arise from the stomach, small and large intestine, ampulla of Vater, appendix, gallbladder, pancreas, lung, bladder, breast, and prostate gland.;Malignant;
C68611;Sinonasal Squamous Cell Carcinoma;Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma;A rare, keratinizing or non-keratinizing squamous cell carcinoma arising from the mucosal epithelium of the nasal cavity or the paranasal sinuses.  It affects most often the maxillary sinus.  Less frequently, it arises from the nasal cavity, ethmoid sinus, sphenoid sinus, and frontal sinus.  Symptoms include nasal fullness, epistaxis, rhinorhea, pain, and paresthesia.  Patients with nasal squamous cell carcinoma usually present earlier than patients with maxillary sinus carcinoma and have a better prognosis compared to the latter group.;Malignant;
C54250;Skin Adenosquamous Carcinoma;;An uncommon carcinoma that arises from the skin. It is characterized by the presence of malignant glandular and malignant squamous cellular components.;Malignant;
C3775;Skin Adnexal Carcinoma;Adnexal Carcinoma ;A carcinoma arising from the sebaceous glands, sweat glands, or the hair follicles. Representative examples include sebaceous carcinoma, apocrine carcinoma, eccrine carcinoma, and pilomatrical carcinoma.;Malignant;
C4489;Skin Angiosarcoma;Angiosarcoma of Skin ;A malignant vascular neoplasm arising from the skin.;Malignant;
C2921;Skin Basal Cell Carcinoma;Basal Cell Cancer ;The most frequently seen skin cancer. It arises from basal cells of the epidermis and pilosebaceous units. Clinically it is divided into the following types: nodular, ulcerative, superficial, multicentric, erythematous, and sclerosing or morphea-like. More than 95% of these carcinomas occur in patients over 40. They develop on hair-bearing skin, most commonly on sun-exposed areas. Approximately 85% are found on the head and neck and the remaining 15% on the trunk and extremities. Basal cell carcinoma usually grows in a slow and indolent fashion. However, if untreated, the tumor may invade the subcutaneous fat, skeletal muscle and bone. Distant metastases are rare. Excision, curettage and irradiation cure most basal cell carcinomas.;Malignant;
C4914;Skin Carcinoma;Carcinoma of Skin ;A carcinoma that arises from the skin.  Representative examples are basal cell carcinoma and squamous cell carcinoma.;Malignant;
C6801;Skin Fibrous Histiocytoma;Benign Cutaneous Fibrous Histiocytoma ;A solitary, slowly growing, nodular tumor most often affecting the extremities. It is composed of fibrous and histiocytic cells which infiltrate the dermis and occasionally the underlying subcutaneous tissue.  Usually local excision is curative. Recurrences are reported only in a small minority of cases.;Benign;
C4905;Skin Hemangioma;Angioma of Skin ;A hemangioma arising from the skin.;Benign;
C3146;Skin Keratoacanthoma;Cutaneous Keratoacanthoma;A dome-shaped, rapidly growing skin neoplasm composed of well differentiated squamous cells. It usually occurs on sun-exposed areas of the body, most often the head, neck, and limbs. It is considered a variant of well-differentiated squamous cell carcinoma with distinct clinical behavior. Keratoacanthomas affect males more frequently than females and the majority tend to regress spontaneously.;Malignant;
